comparison_group,split,model,mean_euclidean_error,median_euclidean_error,rmse_x,rmse_y,max_euclidean_error,test_points,result_dir,note
dual_sensor_models_cross_20260429,cross_20260429,improved_mlp,0.5562955865204392,0.4518345635801762,0.3527856870172638,0.5488568470211201,1.6025460488565255,34.0,../03_detailed_baseline_results/03_cross_day_20260430_to_20260429_model_comparison/cross_20260429/improved_mlp,existing calibrated ensemble reference
dual_sensor_models_cross_20260429,cross_20260429,plain_mlp,0.7432187439736715,0.735602793650469,0.4627975968969783,0.6862217670349121,1.8410031936507512,34.0,../03_detailed_baseline_results/03_cross_day_20260430_to_20260429_model_comparison/cross_20260429/plain_mlp,"29 calibration records, weight=2"
dual_sensor_models_cross_20260429,cross_20260429,grnn,4.145454175088631,4.019071107632206,1.9651389754029147,3.8247760652680776,6.80102954788107,34.0,../03_detailed_baseline_results/03_cross_day_20260430_to_20260429_model_comparison/cross_20260429/grnn,"29 calibration records, weight=2"
dual_sensor_models_cross_20260429,cross_20260429,extra_trees,0.8515066613961969,0.8053389375753524,0.7319262785631288,0.5816170292695901,1.7857828659846768,34.0,../03_detailed_baseline_results/03_cross_day_20260430_to_20260429_model_comparison/cross_20260429/extra_trees,"29 calibration records, weight=2"
